Name,Address,City,CountryCode,Weekdays,Start_Hours,Start_Minutes,End_Hour,End_Minutes,Rating
259 Cafe,259 Berwick St,Perth,AU,1,08,00,18,00,4.0
259 Cafe,259 Berwick St,Perth,AU,2,08,00,18,00,4.0
259 Cafe,259 Berwick St,Perth,AU,3,08,00,18,00,4.0
259 Cafe,259 Berwick St,Perth,AU,4,08,00,17,00,4.0
259 Cafe,259 Berwick St,Perth,AU,5,10,00,16,00,4.0
259 Cafe,259 Berwick St,Perth,AU,6,10,00,16,00,4.0
26 grains,2 Neal's Yard,London,GB,0,11,00,23,00,4.5
26 grains,2 Neal's Yard,London,GB,1,11,00,23,00,4.5
26 grains,2 Neal's Yard,London,GB,2,11,00,23,00,4.5
26 grains,2 Neal's Yard,London,GB,3,11,00,23,00,4.5
26 grains,2 Neal's Yard,London,GB,4,11,00,23,00,4.5
26 grains,2 Neal's Yard,London,GB,5,11,00,23,00,4.5
26 grains,2 Neal's Yard,London,GB,6,11,00,23,00,4.5
2nd City,525 Hudson St,New York,US,0,10,00,20,00,4.5
2nd City,525 Hudson St,New York,US,1,10,00,20,00,4.5
2nd City,525 Hudson St,New York,US,2,10,00,20,00,4.5
2nd City,525 Hudson St,New York,US,3,10,00,20,00,4.5
2nd City,525 Hudson St,New York,US,4,10,00,20,00,4.5
2nd City,525 Hudson St,New York,US,5,10,00,20,00,4.5
2nd City,525 Hudson St,New York,US,6,11,00,18,00,4.5
3 Arts Club Cafe,Restoration Hardware,Chicago,US,0,11,00,22,00,4.5
3 Arts Club Cafe,Restoration Hardware,Chicago,US,1,11,00,22,00,4.5
3 Arts Club Cafe,Restoration Hardware,Chicago,US,2,11,00,22,00,4.5
3 Arts Club Cafe,Restoration Hardware,Chicago,US,3,11,00,22,00,4.5
3 Arts Club Cafe,Restoration Hardware,Chicago,US,4,14,00,22,00,4.5
3 Arts Club Cafe,Restoration Hardware,Chicago,US,5,11,00,22,00,4.5
3 Arts Club Cafe,Restoration Hardware,Chicago,US,6,11,00,22,00,4.5
3 Bro's Kabab House,8586 Westheimer Rd,Houston,US,0,11,00,22,00,4.5
3 Bro's Kabab House,8586 Westheimer Rd,Houston,US,1,11,00,22,00,4.5
3 Bro's Kabab House,8586 Westheimer Rd,Houston,US,2,11,00,22,00,4.5
3 Bro's Kabab House,8586 Westheimer Rd,Houston,US,3,11,00,22,00,4.5
3 Bro's Kabab House,8586 Westheimer Rd,Houston,US,4,11,00,22,00,4.5
3 Bro's Kabab House,8586 Westheimer Rd,Houston,US,5,11,00,22,00,4.5
3 Bro's Kabab House,8586 Westheimer Rd,Houston,US,6,11,00,21,00,4.5
3 Greeks Grill,3561 Vernon Blvd,Long Island City,US,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated,4.5
3 Little Monkeys,4 Centre Pl,Melbourne,AU,0,10,00,04,00,4.5
3 Little Monkeys,4 Centre Pl,Melbourne,AU,1,10,00,04,00,4.5
3 Little Monkeys,4 Centre Pl,Melbourne,AU,2,10,00,04,00,4.5
3 Little Monkeys,4 Centre Pl,Melbourne,AU,3,10,00,04,00,4.5
3 Little Monkeys,4 Centre Pl,Melbourne,AU,4,10,00,05,00,4.5
3 Little Monkeys,4 Centre Pl,Melbourne,AU,5,10,00,05,00,4.5
3 Little Monkeys,4 Centre Pl,Melbourne,AU,6,10,00,04,00,4.5
3 Wise Monkeys Pub,555 George St,Sydney,AU,0,06,00,22,00,3.5
3 Wise Monkeys Pub,555 George St,Sydney,AU,1,06,00,22,00,3.5
3 Wise Monkeys Pub,555 George St,Sydney,AU,2,06,00,22,00,3.5
3 Wise Monkeys Pub,555 George St,Sydney,AU,3,06,00,22,00,3.5
3 Wise Monkeys Pub,555 George St,Sydney,AU,4,06,00,22,00,3.5
3 Wise Monkeys Pub,555 George St,Sydney,AU,5,07,00,22,00,3.5
3 Wise Monkeys Pub,555 George St,Sydney,AU,6,07,00,14,00,3.5
32 Shea,10626 N 32nd St,Phoenix,US,0,12,00,14,30,4.0
32 Shea,10626 N 32nd St,Phoenix,US,0,16,30,23,00,4.0
32 Shea,10626 N 32nd St,Phoenix,US,1,12,00,14,30,4.0
32 Shea,10626 N 32nd St,Phoenix,US,1,16,30,23,00,4.0
32 Shea,10626 N 32nd St,Phoenix,US,2,12,00,14,30,4.0
32 Shea,10626 N 32nd St,Phoenix,US,2,16,30,23,00,4.0
32 Shea,10626 N 32nd St,Phoenix,US,3,12,00,14,30,4.0
32 Shea,10626 N 32nd St,Phoenix,US,3,16,30,23,00,4.0
