Publish_Dates,Mains,Sources,Document_Types,Web_Urls,New_Desks,Section_Names,Snippets
2017-02-07,"Syria, Travel Ban, Kabul: Your Morning Briefing",The New York Times,article,http://www.nytimes.com/2017/02/07/briefing/syria-travel-ban-kabul.html,NYTNow,Briefing,Here’s what you need to know to start your day....
2017-02-07,"Review: In ‘Legion,’ a Hero’s Journey Is a Real Head Trip",The New York Times,article,http://www.nytimes.com/2017/02/07/arts/television/review-in-legion-a-heros-journey-is-a-real-head-trip.html,Culture,Arts,"Distinguishing itself in an overcrowded genre, this new series from FX sets its most compelling drama in its protagonist’s mind...."
2017-02-07,"Irwin Corey, Comedian and ‘Foremost Authority,’ Dies at 102",The New York Times,article,http://www.nytimes.com/2017/02/07/arts/irwin-corey-comedian-and-foremost-authority-dies-at-102.html,Culture,Arts,"Mr. Corey inhabited many characters but was best known for his alter ego, a zany “professor,” and for his left-wing politics...."
2017-02-07,Homeland Security Chief Admits Travel Ban Was Rushed,The New York Times,article,http://www.nytimes.com/2017/02/07/us/travel-ban-customs-border-protection.html,National,U.S.,"But the executive, John F. Kelly, told lawmakers he expected the administration to win a court challenge to the measure...."
2017-02-07,Newly Discovered Gecko Escapes Danger Naked and Alive,The New York Times,article,http://www.nytimes.com/2017/02/07/science/fish-scale-gecko.html,Science,Science,"When snatched by an attacker, the lizard rips off its scales and skin so it can slip away unscathed...."
2017-02-07,Duterte Gives ‘Rotten’ Officers Choice: Go to Terrorist Hotbed or Go Home,The New York Times,article,http://www.nytimes.com/2017/02/07/world/asia/rodrigo-duterte-philippines-police-officers.html,Foreign,World,"The ultimatum, broadcast on national television, was presented to over 200 police officers accused of a litany of criminal and professional misdeeds...."
2017-02-07,A Simple Way to Speed Delivery,The New York Times,article,http://www.nytimes.com/2017/02/07/well/family/a-simple-way-to-speed-delivery.html,Science,Well,Adding dextrose to an intravenous saline solution reduced labor time by 76 minutes....
2017-02-07,How the Grammy Awards Are Made: 4 Craftsmen and ‘Grammium’,The New York Times,article,http://www.nytimes.com/2017/02/07/arts/music/grammy-award-maker-john-billings.html,Culture,Arts,"Known as “the Grammy man,” John Billings has played a role in fashioning each trophy for four decades...."
2017-02-07,White Gold Butchers Slices to the Point: Meats Cooked Simply,The New York Times,article,http://www.nytimes.com/2017/02/07/dining/white-gold-butchers-review-april-bloomfield-restaurant.html,Dining,Food,"Tucked into their butcher shop, April Bloomfield and Ken Friedman’s latest restaurant is ample reason for an Upper West Side trek...."
2017-02-07,White Gold Butchers,The New York Times,multimedia,http://www.nytimes.com/slideshow/2017/02/07/dining/white-gold-butchers.html,Food,Food,April Bloomfield and Ken Friedman’s restaurant inside a butcher shop on the Upper West Side....
