Publish_Dates,Mains,New_Desks,Section_Names
2017-01-24T02:10:17+0000,"Call to Create Jobs, or Else, Tests Trump’s Sway",Business,Business Day
2017-01-22T01:11:22+0000,"In a Rust Belt Town, the Women’s March Draws Shrugs and Cheers From Afar",National,U.S.
2017-01-24T02:10:17+0000,"Call to Create Jobs, or Else, Tests Trump’s Sway",Business,Business Day
2017-01-23T16:57:40+0000,"Trump Abandons Trans-Pacific Partnership, Obama’s Signature Trade Deal",National,U.S.
2017-01-21T06:02:15+0000,"Leaders Abroad, Joyful or Wary, Face Uncertainty of Trump Era",Foreign,World
2017-02-01T02:23:23+0000,Trump Aide’s Deal With Chinese Firm Raises Fear of Tangled Interests,National,U.S.
2017-01-22T21:46:13+0000,"After Success of Women’s March, a Question Remains: What’s Next?",National,U.S.
2017-01-22T21:46:13+0000,"After Success of Women’s March, a Question Remains: What’s Next?",National,U.S.
2017-01-21T15:35:36+0000,The President Who Buried Humility,OpEd,Opinion
2017-01-21T19:16:15+0000,How to Listen to Donald Trump Every Day for Years,OpEd,Opinion
2017-01-21T02:13:36+0000,Many Left. Many Arrived. All Felt the Mood of a New Era.,National,U.S.
2017-02-07T01:17:52+0000,A Quiet Giant of Investing Weighs In on Trump,Business,Business Day
2017-01-18T00:45:41+0000,Run-Up Since Election Slows as Investors Consider Risks,Business,Business Day
